numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,8744,22740,11356,-18450,32767,32767
2,-856,-17336,600,32767,-32768,-32768
3,-6968,23900,-15968,4304,32767,-32768
4,-7456,15420,2920,-13843,-32768,32767
5,-1728,22948,12556,4658,5734,24252
6,-7812,-1468,2032,5753,-6833,-3519
7,-3848,18564,10376,13591,17119,18279
8,-3536,16132,6764,9461,-1021,-6411
9,11000,24496,32767,3904,32767,-14342
10,-14764,-504,-32768,6186,-3889,9694
11,-20128,24644,6884,10407,507,5218
12,-12412,-4752,12088,12797,-32768,14003
13,8528,1276,32767,32767,-12078,10687
14,11980,4028,-25044,-4757,32767,-32768
15,-2144,-22560,32767,-23774,-32768,-31878
16,-1552,17684,1536,-3101,32767,-25180
17,-9760,308,5220,-7633,3275,21045
18,-5564,19080,10928,8423,-13601,12272
19,-3608,17048,11524,-2461,23581,-1505
20,-12108,-1400,12792,11755,9061,11756
21,-6356,-32768,16936,-31868,-32768,-32768
22,-7300,32767,-32768,-4683,-8452,-25707
23,17392,32767,-32768,8166,4705,-11395
24,22500,32767,-8400,17492,32767,32767
25,-844,32767,9280,-4021,-12648,17833
26,-19820,-2136,11188,-4805,31866,11326
27,-7988,7244,-4136,-4370,-917,-559
28,-12932,12160,2616,-2052,1498,-7384
29,-10912,10904,-440,7091,-1145,-195
30,-13476,11156,1516,15051,4946,-692
31,-11220,9524,-1908,4945,-7404,5116
32,-16612,12636,-1464,-396,-20143,3805
33,-11252,2428,32767,-8100,14073,-22704
34,5868,23332,-32768,6671,32767,6830
35,1952,-16212,32767,5465,-32768,7078
36,6456,20452,-232,-32768,-32768,-32768
37,18096,32767,-32768,-7368,32767,32767
38,6116,8672,-17988,32767,32767,19740
39,-4128,15728,-8752,31659,32767,-2832
40,16948,12180,-32768,-4592,-32768,-17578
41,16700,-14488,-5792,-32768,-32768,-32768
42,17380,-24332,32767,3533,32767,-8340
43,15336,6916,2796,18959,32767,32767
44,15688,22852,-32768,14201,31538,12979
45,3176,7180,-21844,-8269,-32768,-32768
46,15744,-1392,28500,-29017,-32768,-22992
47,-9628,-11824,4240,16152,32767,26400
48,32767,6660,-32768,-2993,32767,25015
49,8656,-2160,4144,-31524,-32768,-32768
50,5788,-31460,26232,-32768,-32768,-32768
51,18388,-13324,32767,32767,32767,4577
52,19072,24288,-15748,32767,32767,32767
53,7468,16128,4092,-21405,-32768,-26952
54,2556,-13740,32767,-7916,13095,24009
55,20604,28356,-68,24808,32767,-18594
56,14532,-772,-15412,-30980,-32768,-32768
57,10752,-14564,30816,-20615,-32768,-27243
58,16504,-1000,32767,32767,32767,-32768
59,16008,-12508,6924,-6163,32767,8966
60,-1084,1600,-31228,12448,8839,-31642
61,-19288,3948,-22852,-961,3872,-5950
62,-15588,892,-32768,-23574,-9156,153
63,6428,-12868,32767,32767,-32768,732
64,8588,6664,-26868,-6226,32767,-11824
65,3772,-21092,-29260,26607,-28863,-32768
66,-2720,-13552,352,32767,-32768,16567
67,-1668,-5680,13328,32767,-32525,19471
68,3872,-8676,3608,-12172,32767,-32768
69,-14168,-21308,8888,9023,32767,-32768
70,7124,32767,28888,32767,1329,32767
71,-9320,-5012,7364,18898,32767,29329
72,-10236,-26952,-13480,-32768,-32768,-32768
73,13368,16236,22412,-32768,-22635,32767
74,30508,32767,32767,32767,3137,32767
75,29620,-32768,-23100,-32768,32767,-32768
76,12432,13720,-1772,-32768,-32768,17731
77,25080,3772,32767,32767,32767,10140
78,32767,-32768,-32768,-32768,32767,-32768
79,32767,6444,-7576,-32768,-32768,-32768
80,12744,-18464,18288,3791,-165,32767
81,26492,-31196,32767,19603,32767,24503
82,32767,-4848,-32768,-32768,32767,-21820
83,9380,2600,-30624,-32768,-32768,-19070
84,-14148,-12964,17824,32767,-32768,27348
85,9808,15532,9832,6906,32767,-4329
86,-8656,8572,-32768,21155,-32768,-32768
87,16912,-30160,32767,21804,-32768,-32768
88,3328,5348,6872,30696,32767,32767
89,-3216,27252,-5336,-16170,32767,-21367
90,-12600,-6232,-32768,11542,-32768,-32768
91,-10464,-3256,17256,32767,-32768,27811
92,-12168,-14156,-8964,17821,8292,6762
93,-12516,1988,7264,-10318,14679,-11277
94,-18132,-708,-13436,-4012,32767,8722
95,-4328,-1644,29728,8345,-8108,12220
96,12268,8240,-32768,90,32767,32767
97,10788,-32768,32767,22190,-32768,-32768
98,2436,32767,-32768,13626,5660,32767
99,9092,2244,32767,13005,32767,32371
100,132,10952,-3488,-10311,-32768,-24501
101,6136,312,32767,18352,32767,25024
102,19488,17556,-10956,-32768,-32768,-32768
103,32767,20620,-28228,17904,32767,32767
104,32767,-32768,32767,32767,-32768,-32768
105,-11792,24452,-32768,-11832,13074,-25548
106,19936,7640,32767,-32768,32767,32767
107,32767,-8328,32767,32767,-32768,2405
108,-32768,20568,-32768,-32768,-32768,-32768
109,-32768,32767,-32768,32767,-32768,-32768
110,-19492,32767,-31728,32767,32767,30636
111,-32768,32767,-2252,32767,-32768,83
112,12824,32767,-32768,32767,32767,32767
113,-2672,17012,1860,21953,-9224,32767
114,-18320,32767,-32768,32767,32767,29954
115,11944,32767,-12232,-10242,32767,32767
116,-14816,-6152,11396,14133,-32768,-5450
117,-9120,-1152,1104,-32768,-7665,16098
118,8032,3832,-6004,21484,32767,-32768
119,-9076,9680,18888,-32768,-32768,-32768
120,-8260,3448,6504,20597,12914,26697
121,-236,20936,30692,164,7454,-28966
122,-8904,8388,-32768,-27193,-32768,32767
123,8840,-19988,-25904,7867,32767,-32768
124,-10232,11980,-16184,-30322,5494,17134
125,20244,26996,32767,30532,32767,-32768
126,9348,9656,-23460,-17530,-32768,32767
127,22716,-11052,-16480,194,32767,-32768
128,17480,14476,32767,-20966,-32768,5165
129,8696,14312,-22488,16611,32767,19331
130,16752,30440,32767,7230,-14364,4777
131,4432,29556,32767,3272,-32141,-29140
132,-5200,12688,-25808,-32768,-32768,-32768
133,16264,18228,-10768,17820,32767,16416
134,6668,8888,32767,-27558,-11958,-31213
135,-7416,-11640,15204,-9073,-8963,-32768
136,-14380,5840,11644,2763,-11103,-2433
137,-12944,14220,17132,-3407,-3749,2532
