numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,7771,-213,14884,-31,402,-51
2,7748,-206,14861,-34,412,-51
3,7765,-210,14855,-30,424,-47
4,7749,-209,14885,-26,406,-49
5,7758,-205,14893,-31,413,-52
6,7760,-212,14892,-26,398,-50
7,7746,-197,14870,-27,402,-44
8,7773,-196,14875,-34,401,-47
9,7745,-199,14859,-27,397,-49
10,7756,-197,14872,-32,402,-50
11,7754,-196,14876,-33,399,-45
12,7755,-214,14893,-34,401,-50
13,7763,-202,14863,-29,405,-43
14,7759,-201,14878,-30,426,-45
15,7754,-200,14893,-26,418,-50
16,7756,-213,14875,-34,407,-49
17,7763,-199,14866,-31,404,-49
18,7741,-208,14862,-34,415,-51
19,7740,-213,14848,-30,408,-51
20,7742,-211,14854,-29,397,-46
21,7741,-202,14845,-34,424,-44
22,7740,-196,14864,-25,418,-46
23,7746,-214,14882,-28,403,-43
24,7768,-201,14865,-28,398,-50
25,7745,-201,14850,-28,406,-43
26,7743,-195,14852,-25,403,-52
27,7761,-209,14894,-33,423,-48
28,7741,-208,14865,-31,403,-44
29,7772,-214,14859,-29,414,-52
30,7771,-198,14897,-26,421,-49
31,7779,-199,14842,-30,420,-43
32,7768,-206,14900,-30,422,-44
33,7768,-197,14869,-27,413,-43
34,7770,-203,14846,-32,414,-46
35,7758,-205,14849,-27,406,-47
36,7757,-211,14896,-31,403,-47
37,7740,-199,14859,-31,408,-45
38,7772,-202,14888,-32,417,-51
39,7741,-207,14899,-25,413,-46
40,7747,-206,14852,-27,415,-45
41,7775,-208,14864,-25,411,-45
42,7774,-205,14868,-27,415,-44
43,7770,-214,14881,-33,402,-46
44,7767,-199,14864,-31,409,-47
45,7751,-206,14869,-33,419,-48
46,7776,-206,14864,-25,409,-52
47,7776,-213,14886,-33,405,-45
48,7752,-202,14845,-34,425,-48
49,7762,-198,14852,-28,405,-45
50,7762,-206,14849,-34,402,-49
51,7775,-205,14850,-28,415,-43
52,7775,-209,14886,-31,409,-51
53,7769,-211,14889,-32,414,-45
54,7769,-198,14850,-34,397,-48
55,7742,-199,14847,-28,415,-49
56,7770,-207,14868,-27,417,-47
57,7756,-198,14871,-29,426,-49
58,7769,-205,14896,-28,402,-50
59,7757,-205,14851,-32,400,-45
60,7752,-206,14850,-31,405,-52
61,7752,-205,14901,-34,425,-45
62,7746,-198,14879,-26,422,-43
63,7744,-198,14877,-30,417,-44
64,7757,-206,14878,-30,400,-52
65,7748,-197,14866,-29,424,-43
66,7762,-210,14848,-34,421,-43
67,7748,-208,14857,-25,400,-52
68,7779,-207,14878,-29,426,-47
69,7776,-211,14880,-34,408,-48
70,7760,-196,14845,-33,413,-51
71,7767,-207,14890,-28,417,-46
72,7748,-203,14849,-26,422,-49
73,7749,-199,14878,-30,416,-50
74,7769,-211,14878,-32,400,-46
75,7748,-213,14861,-34,399,-50
76,7767,-197,14851,-27,406,-48
77,7754,-210,14851,-29,417,-43
78,7754,-195,14849,-27,411,-51
79,7759,-199,14897,-33,399,-46
80,7762,-208,14858,-33,411,-43
81,7772,-196,14874,-28,416,-44
82,7745,-200,14853,-30,402,-50
83,7746,-201,14867,-31,421,-47
84,7760,-195,14880,-30,403,-46
85,7769,-208,14847,-25,406,-52
86,7776,-201,14861,-28,413,-48
87,7768,-196,14882,-33,412,-48
88,7770,-206,14852,-34,418,-49
89,7740,-207,14874,-30,401,-45
90,7748,-195,14888,-27,399,-49
91,7762,-201,14896,-30,407,-48
92,7752,-202,14898,-26,414,-47
93,7757,-210,14896,-27,422,-52
94,7750,-210,14876,-25,424,-45
95,7752,-214,14856,-34,404,-46
96,7743,-201,14867,-29,425,-44
97,7761,-197,14856,-34,417,-45
98,7778,-198,14894,-26,403,-47
99,7749,-202,14897,-32,426,-49
100,7769,-212,14844,-29,420,-48
